Title,P-ISSN,E-ISSN,Source Type,All Science Classification Codes (ASJC)
Bollettino della Societa Paleontologica Italiana,03757633,,Journal,1911;
Bollettino della Unione Matematica Italiana A,03924033,,Journal,2600;
Bollettino della Unione Matematica Italiana B,03924041,,Journal,2600;
Bollettino dell'Istituto Storico Italiano per il Medio Evo,11276096,,Journal,1202; 
Bollettino di Archeologia,11202742,,Journal,3302; 1204;
Bollettino di demografia storica,11269510,,Journal,2700;
Bollettino di Geodesia et Scienze Affini,00066710,,Journal,2200;
Bollettino di Geofisica Teorica ed Applicata,00066729,,Journal,2300; 1900;
Bollettino di Oceanologia Teorica ed Applicata,0393196X,,Journal,2300; 1900;
Bollettino di Storia delle Scienze Matematiche,03924432,17241650 ,Journal,1207; 2601;
Bone and Joint Journal,20494394,20494408 ,Journal,2746; 2732; 
Bone Marrow Transplantation,02683369,,Journal,2720; 2747;
Bone Reports,,23521872,Journal,2712; 2732; 
Bonner Geographische Abhandlungen,03730468,,Journal,2300; 1900;
Bonner Meteorologische Abhandlungen,00067156,,Journal,1900;
Book Research Quarterly,07416148,,Journal,1404; 3315; 3309; 1406; 2209;
Bordeaux Medical,00217867,,Journal,2700;
Bosnian journal of basic medical sciences,15128601,,Journal,2700;
Boston College Environmental Affairs Law Review,01907034,,Journal,3300;
Boston College international and comparative law review,02775778,,Journal,3300;
Boston University Law Review,00068047,,Journal,3308;
Botanical Gazette,00068071,,Journal,2300; 1900;
Bottom Line,0888045X,,Journal,3309;
Boundary 2,01903659,15272141,Journal,1202; 3312; 1208; 3316;
Boundary elements communications,1353825X,,Journal,2200;
Boundary Value Problems,16872762,16872770,Journal,2602; 2603;
Boundary-Layer Meteorology,00068314,15731472,Journal,1902;
Boxboard Containers International,10845291,,Journal,2501; 1500; 1405;
BPA Applied Psychology Bulletin,00066761,,Journal,3202; 
Brachytherapy,15384721,,Journal,2741; 2730;
Brain,00068950,14602156,Journal,2728;
Brain and nerve = Shinkei kenkyu no shinpo,18816096,,Journal,2728;
Brain Injury,02699052,1362301X,Journal,2728;
Brand,14750929,,Journal,2214; 1400;
"Brandeis journal of family law / Louis D. Brandeis School of Law, University of Louisville",15212246,,Journal,2700;
Brandeis law journal,15310183,,Journal,2700;
Bratislavske Lekarske Listy,00069248,,Journal,2700;
Braunkohle/Surface Mining,14312719,,Journal,2200;
Braunschweiger Naturkundliche Schriften,01743384,,Journal,2303;
Brauwissenschaft,00069337,,Journal,2700;
Brazilian Archives of Biology and Technology,15168913,,Journal,1000;
Brazilian Dental Journal,01036440,,Journal,3500;
Brazilian Journal of Analytical Chemistry,21793425,21793433 ,Journal,1602;
Brazilian journal of anesthesiology (Elsevier),01040014,,Journal,2700; 
Brazilian Journal of Cardiovascular Surgery,01027638,,Journal,2700;
Brazilian Journal of Chemical Engineering,01046632,,Journal,1500;
Brazilian Journal of Epilepsy and Clinical Neurophysiology,01049275,,Journal,2728;
Brazilian Journal of Geology,23174889,23174692 ,Journal,1900; 
Brazilian Journal of Infectious Diseases,14138670,,Journal,2700;
Brazilian Journal of Oceanography,16798759,1982436X ,Journal,1910;
Brazilian Journal of Oral Sciences,16773225,,Journal,3500;
Brazilian Journal of Physics,01039733,,Journal,3100;
Brazilian Journal of Probability and Statistics,01030752,,Journal,2613;
Brazilian Journal of Urology,15176878,,Journal,2727;
Brazilian Journal of Veterinary Pathology,19830246,,Journal,3401; 
Brazilian Journal of Veterinary Research and Animal Science,14139596,16784456,Journal,3400;
Brazing & soldering,02630060,,Journal,2200;
Breast,09609776,,Journal,2746;
Breast Cancer,13406868,,Journal,2741; 2736; 2730;
Breast Cancer: Targets and Therapy,11791314,,Journal,2730;
Breast Care,16613791,16613805,Journal,2746; 2730;
Breast Diseases,1043321X,,Journal,2746; 2730;
Breast Journal,1075122X,15244741,Journal,2724; 2746; 2730;
Breastfeeding Medicine,15568253,15568342,Journal,2700;
Breastfeeding Review,07292759,,Journal,2700;
Breathe,18106838,20734735,Journal,2740;
Brennstoff-Chemie,00069620,,Journal,2200;
Brennstoff-Waerme-Kraft,00069612,,Journal,2210; 2212; 2103;
Bridge Construction,10034722,,Journal,2215; 
Bridge Structures,15732487,,Journal,2215;
Bridging Eastern and Western Psychiatry,,,Journal,2738;
Brief Treatment and Crisis Intervention,14743310,14743329,Journal,3203; 2734; 2738; 2921;
Briefings in Functional Genomics,20412649,20412657,Journal,2700;
Briefings in Functional Genomics and Proteomics,14739550,14774062,Journal,2700;
Brigham Young University Geology Studies,00681016,,Journal,1907;
Brigham Young University law review,0360151X,,Journal,2700;
Brigham Young University studies. Brigham Young University,02781980,,Journal,1212;
Brill's Journal of Afroasiatic Languages and Linguistics,18766633,18776930,Journal,3310; 1203; 
Brimleyana,01934406,,Journal,1900;
Britain and the World,20438567,20438575 ,Journal,1202; 
Britannia,03256197,17535352,Journal,3302; 1202; 1205; 1204; 
Britannia (Society for the Promotion of Roman Studies),0068113X,,Journal,2700;
British Accounting Review,08908389,10958347,Journal,1402;
British Ceramic Transactions,09679782,,Journal,2503;
British Ceramics Transactions & Journal,02667606,,Journal,2200;
British Columbia Medical Journal,00070556,,Journal,2700;
British Corrosion Journal,00070599,,Journal,2506; 2500;
British Dental Journal,00070610,,Journal,3500;
"British dental nurses' journal (Fleetwood, England : 1994)",13563807,,Journal,2700;
British Educational Research Journal,01411926,14693518,Journal,3304;
British Foundryman,00070718,,Journal,2200;
British Heart Journal,00070769,,Journal,2705;
British Herpetological Society Bulletin,02605805,,Journal,2300; 1900;
British Journal for Eighteenth Century Studies,0141867X,,Journal,1202; 1213; 1208; 3316;
British Journal for the History of Philosophy,09608788,,Journal,1211;
British Journal for the History of Science,00070874,1474001X,Journal,1207; 1202;
British Journal for the Philosophy of Science,00070882,14643537,Journal,1207; 1202; 1211;
British Journal of Addiction,09520481,,Journal,2701;
British Journal of Administrative Management,13535188,,Journal,2209;
British Journal of Aesthetics,00070904,14682842,Journal,1211;
British Journal of Anaesthesia,00070912,14716771,Journal,2703;
British Journal of Applied Physics,05083443,,Journal,2200;
British Journal of Audiology,03005364,,Journal,2733;
British Journal of Canadian Studies,02699222,17578078 ,Journal,3316; 1208; 3312; 1202; 
British Journal of Cardiology,09696113,,Journal,2705;
British Journal of Chiropractic (United Kingdom),14662108,,Journal,3602;
British Journal of Clinical Governance,14664100,,Journal,2911;
British Journal of Clinical Practice,00070947,,Journal,2700;
British Journal of Clinical Psychology,01446657,,Journal,3203;
British Journal of Community Justice,14750279,,Journal,3308;
British Journal of Community Nursing,14624753,,Journal,2700; 2905;
British Journal of Criminology,00070955,14643529,Journal,2734; 3308;
British Journal of Dermatology,00070963,13652133,Journal,2708;
"British Journal of Dermatology, Supplement",0366077X,,Journal,2708;
British Journal of Developmental Disabilities,09697950,,Journal,2738; 3204;
British Journal of Diabetes and Vascular Disease,14746514,,Journal,2724; 2712; 2705;
British Journal of Diseases of the Chest,00070971,,Journal,2740;
British Journal of Disorders of Communication,0007098X,,Journal,2728; 3206;
British Journal of Educational Psychology,00070998,,Journal,3304; 3204;
British Journal of Educational Studies,00071005,14678527,Journal,3304;
British Journal of Educational Technology,00071013,14678535,Journal,3304;
British Journal of Experimental Pathology,00071021,,Journal,2734;
British Journal of Family Planning,01448625,,Journal,2729;
British Journal of Forensic Practice,14636646,,Journal,2734; 2921;
British Journal of General Practice,09601643,,Journal,2714;
British Journal of Guidance and Counselling,03069885,14693534,Journal,3202;
British Journal of Haematology,00071048,13652141,Journal,2720;
"British Journal of Haematology, Supplement",09631860,,Journal,2720;
British Journal of Health Care Management,13580574,,Journal,2719; 2911;
British Journal of Health Psychology,1359107X,,Journal,3202;
British Journal of Holistic Medicine,02661330,,Journal,2700;
British Journal of Hospital Medicine,00071064,,Journal,2700; 2744;
"British journal of hospital medicine (London, England : 2005)",17508460,17597390,Journal,2700;
British Journal of Industrial Medicine,00071072,,Journal,2739;
British Journal of Industrial Relations,00071080,14678543,Journal,1400; 1407; 1405;
British Journal of Infection Control,14690446,,Journal,2902;
British Journal of Intensive Care,09617930,,Journal,2706;
British journal of law and society,03063704,,Journal,2700;
British Journal of Learning Disabilities,13544187,14683156,Journal,2919; 2921;
British Journal of Management,10453172,14678551,Journal,1400; 1408; 1405;
British Journal of Mathematical and Statistical Psychology,00071102,,Journal,3200; 2613;
British Journal of Medical and Surgical Urology,18759742,,Journal,2746; 2748;
British Journal of Medical Economics,09621423,,Journal,2701;
British journal of medical education,00071110,,Journal,2700;
British Journal of Medical Practitioners,17578515,,Journal,2700;
British Journal of Medical Psychology,00071129,,Journal,2738;
British Journal of Mental Subnormality,0374633X,,Journal,2738;
British Journal of Middle Eastern Studies,13530194,14693542,Journal,3305;
British Journal of Midwifery,09694900,,Journal,2913;
British Journal of Music Education,02650517,14692104 ,Journal,1210; 3304;
British Journal of Neurosurgery,02688697,1360046X,Journal,2728; 2746;
British Journal of Non-Destructive Testing,00071137,,Journal,2200;
British Journal of Nursing,09660461,,Journal,2700;
British Journal of Nutrition,00071145,14752662,Journal,2701; 2916;
British Journal of Obstetrics and Gynaecology,03065456,,Journal,2729;
"British Journal of Obstetrics and Gynaecology, Supplement",01407686,,Journal,2729;
British Journal of Occupational Therapy,03080226,14776006,Journal,2742;
British Journal of Oral and Maxillofacial Surgery,02664356,,Journal,3504; 2733; 2746;
British Journal of Oral Surgery,0007117X,,Journal,2700;
British journal of orthodontics,0301228X,,Journal,2700;
British Journal of Parenteral Therapy,02647494,,Journal,2706;
British journal of perioperative nursing : the journal of the National Association of Theatre Nurses,14671026,,Journal,2700;
British journal of pharmacology and chemotherapy,03660826,,Journal,2700;
British Journal of Plastic Surgery,00071226,14653087,Journal,2733; 2746;
British Journal of Political Science,00071234,14692112,Journal,3312;
British Journal of Politics and International Relations,13691481,,Journal,3320; 2308;
British Journal of Preventive and Social Medicine,00071242,,Journal,2700;
British journal of psychiatric social work,,,Journal,2700;
British Journal of Psychiatry,00071250,14721465,Journal,2738;
British Journal of Psychology,00071269,,Journal,3200;
British Journal of Psychotherapy,02659883,,Journal,3203; 2738;
British Journal of Radiology,00071285,,Journal,2741;
British Journal of Radiology. Supplement,03068854,,Journal,2700;
British Journal of Religious Education,01416200,17407931 ,Journal,3304; 1212;
British Journal of Social and Clinical Psychology,00071293,,Journal,3300;
British Journal of Social Medicine,03660842,,Journal,2700;
British Journal of Social Psychology,01446665,,Journal,3207;
British Journal of Social Work,00453102,1468263X,Journal,3306; 3301;
British Journal of Sociology,00071315,14684446,Journal,3312;
British Journal of Sociology of Education,01425692,14653346,Journal,3304; 3312;
British Journal of Special Education,09523383,,Journal,3304; 3204;
British Journal of Sports Medicine,03063674,14730480,Journal,2732; 3612;
British Journal of Surgery,00071323,13652168,Journal,2746;
British Journal of Tuberculosis and Diseases of the Chest,03660869,,Journal,2740; 
British Journal of Urology,00071331,,Journal,2748;
"British Journal of Urology, Supplement",13588672,,Journal,2748;
British Journal of Venereal Diseases,0007134X,,Journal,2748; 2708;
British Journal of Visual Impairment,02646196,17445809 ,Journal,2731; 
British Journal on Alcohol and Alcoholism,03091635,,Journal,2700;
British Medical Bulletin,00071420,14718391,Journal,2700;
British Medical Journal,09598146,,Journal,2700;
British Phycological Journal,00071617,,Journal,2300; 1900;
British Plastics,00071625,,Journal,2200;
British Politics,1746918X,17469198 ,Journal,3312; 1202; 3320;
British Polymer Journal,00071641,,Journal,2200;
British Printer,00071684,,Journal,1500; 1405;
British Review of Bulimia + Anorexia Nervosa,09503005,,Journal,2738;
"British Society for Middle Eastern Studies, Bulletin",03056139,,Journal,2300; 1900;
British Telecom Technology Journal,02650193,,Journal,2200;
British Telecommunications Engineering,0262401X,,Journal,2214;
British Veterinary Journal,00071935,,Journal,3400;
Brno Studies in English,05246881,18050867,Journal,1208; 3310; 1203;
Broncho-pneumologie,03953904,,Journal,2700;
Bronte Studies,14748932,17458226 ,Journal,1208;
Brookings Papers on Economic Activity,00072303,15334465,Journal,1400; 2002;
Brookings Review,07451253,,Journal,2700;
Brown Boveri Review,00072486,,Journal,2200;
BRQ Business Research Quarterly,23409444,,Journal,1400; 2002; 
Brunei International Medical Journal,15605876,20793146 ,Journal,2700;
Bruniana e Campanelliana,11253819,17240441 ,Journal,1202; 1211;
Bruns' Beitrage für klinische Chirurgie,00072680,,Journal,2700;
Bruxelles Medical,00683027,,Journal,2700;
BSGLg,05838622,07707576,Journal,1900; 3305; 
BSHM: British Society for the History of Mathematics Bulletin,17498430,,Journal,1207; 2601; 3304;
BSI News,00053309,,Journal,2500;
BT Technology Journal,13583948,15731995,Journal,1705; 2208;
BTRA Scan,09728341,,Journal,2300; 2507; 1401; 2209;
"Bubble Science, Engineering and Technology",17588960,,Journal,2500; 1500; 1600;
Buddhist Studies Review,02652897,17479681 ,Journal,1212; 
Buffalo Law Review,00239356,,Journal,3308;
Building Acoustics,1351010X,,Journal,3102; 2215; 2210;
Building and Environment,03601323,,Journal,2215; 2205; 2305; 3305;
Building Engineer,09698213,,Journal,2215; 2205;
Building research & practice,03069931,,Journal,2200;
Building Research and Information,09613218,14664321,Journal,2215; 2205;
Building Science,00073628,,Journal,2200;
Building Services Engineering Research and Technology,01436244,14770849,Journal,2215;
Building Simulation,19963599,19968744 ,Journal,2101; 2215;
Building Standards,02701197,,Journal,2215; 2200;
Building systems design,00022284,,Journal,2200;
Buildings,00073725,,Journal,2215;
Buildings & Landscapes,19360886,19346832 ,Journal,3322; 2216; 1213; 
Built Environment,02637960,,Journal,3322; 3305;
Built Environment Project and Asset Management,2044124X,,Journal,2205; 1803; 
Buletinul Academiei de Stiinte a Republicii Moldova. Matematica,10247696,,Journal,2600;
Bulgarian Astronomical Journal,13132709,13145592,Journal,3103; 
Bulgarian Chemical Communications,08619808,,Journal,1600;
Bulgarian Historical Review,02048906,,Journal,1202;
Bulgarian Journal of Veterinary Medicine,13111477,13133543 ,Journal,3400; 
Bulgarian Medicine,08619883,,Journal,2700;
Bulk Solids Handling,01739980,,Journal,2209;
Bullentin of Canadian Petroleum Geology,00074802,,Journal,2102; 1901; 1906; 1907;
Bulletin - American Protestant Hospital Association,00030635,,Journal,2700;
Bulletin - Association of Canadian Map Libraries and Archives,08409331,,Journal,1901; 1904;
Bulletin - Australian Geological Survey Organisation,10392645,,Journal,2300; 1900;
"Bulletin - Bureau of Mineral Resources, Geology and Geophysics (Australia)",00847089,,Journal,2300; 1900;
"Bulletin - Centres de Recherches Exploration-Production Elf- Aquitaine, Memoire",03962687,,Journal,1905;
Bulletin - Cercle Benelux d'histoire de la pharmacie,0528600X,,Journal,2700;
Bulletin - Cincinnati Dental Society,01900439,,Journal,2700;
Bulletin - Geographical Survey Institute (Tokyo),03737160,,Journal,2300; 1900;
Bulletin - Geological Survey South Africa,,,Journal,2300; 1900;
"Bulletin - Hokkaido University, Faculty of Fisheries",00183458,,Journal,2300; 1900;
Bulletin - Institut Royal des Sciences Naturelles de Belgique: Sciences de la Terre,03746429,,Journal,2300; 1900;
Bulletin - Mineral Research and Exploration Institute of Turkey,,,Journal,2300; 1900;
Bulletin - Museum National d'Histoire Naturelle Section C: Sciences de la Terre,01810642,,Journal,2300; 1900;
"Bulletin - Museum National d'Histoire Naturelle, Section B: Adansonia",02408937,,Journal,2300; 1900;
"Bulletin - Museum National d'Historie Naturelle, Section A",01810626,,Journal,2300; 1900;
Bulletin - N. Z. Society of Periodontology,00288705,,Journal,2700;
Bulletin - National Tuberculosis and Respiratory Disease Association,00280313,,Journal,2700;
Bulletin - Peak District Mines Historical Society,,,Journal,2300; 1900;
Bulletin - Societe Belge de Geologie,,,Journal,2300; 1900;
"Bulletin - Societe Botanique de France, Lettres Botaniques",01811797,,Journal,2300; 1900;
Bulletin - Societe Francaise de Photogrammetrie et de Teledetection,02446014,,Journal,2214; 2215;
Bulletin - Societe francaise d'histoire des hopitaux,05838517,,Journal,2700;
Bulletin - Societe Languedocienne de Geographie,03733297,,Journal,2300; 1900;
Bulletin - Societie Geologique de France,00379409,,Journal,1907;
Bulletin - Tennessee Nurses Association,00403342,,Journal,2700;
"Bulletin - Univeristy of Tokyo, Department of Geography",,,Journal,2300; 1900;
Bulletin (American Association for the History of Nursing),08986622,,Journal,2700;
"Bulletin (Eugenics Society (London, England))",03068471,,Journal,2700;
Bulletin de Correspondance Hellenique,00074217,,Journal,3302; 1205; 1204;
Bulletin de la Federation des societes de gynecologie et dobstetrique de langue francaise,00463515,,Journal,2700;
